ds,yhat_upper
2023-05-14 18:10:00,-69.66321782952863
2023-05-14 18:11:00,-124.4509234537611
2023-05-14 18:12:00,-213.12648667014574
2023-05-14 18:13:00,-284.69065973818994
2023-05-14 18:14:00,-364.3050803129718
2023-05-14 18:15:00,-425.8126426722087
2023-05-14 18:16:00,-484.6328838117168
2023-05-14 18:17:00,-561.724718819962
2023-05-14 18:18:00,-622.2275800039007
2023-05-14 18:19:00,-677.4297016603327
2023-05-14 18:20:00,-734.9056724517962
2023-05-14 18:21:00,-782.9074097185403
2023-05-14 18:22:00,-800.2496800056201
2023-05-14 18:23:00,-844.0592653370935
2023-05-14 18:24:00,-878.3895483438439
2023-05-14 18:25:00,-903.3595890252201
2023-05-14 18:26:00,-924.08015489839
2023-05-14 18:27:00,-956.8254818532943
2023-05-14 18:28:00,-1008.3869181389477
2023-05-14 18:29:00,-1023.3847384245178
